ruc,razon_social
20100027705,EMPRESA ELECTRICIDAD DEL PERÚ S.A.
20103117560,EMPRESA REGIONAL DE SERVICIO PÚBLICO DE ELECTRICIDAD DEL NORTE S.A.
20103795631,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL ORIENTE S.A.
20116225779,AGROINDUSTRIAS SAN JACINTO S.A.A.
20116544289,ELECTRO SUR ESTE S.A.A
20131823020,CASA GRANDE S.A.A.
20132023540,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRONORTE MEDIO S.A.
20135948641,AGRO INDUSTRIAL PARAMONGA S.A.
20170072465,SOCIEDAD MINERA CERRO VERDE S.A.A.
20216293593,EMPRESA DE GENERACIÓN ELÉCTRICA AREQUIPA S.A.
20218339167,EMPRESA DE GENERACIÓN ELÉCTRICA MACHUPICCHU S.A.
20256391202,SINDICATO ENERGÉTICO S.A.
20262221335,EMPRESA DE GENERACIÓN ELÉCTRICA SAN GABÁN S.A.
20269180731,STATKRAFT PERÚ S.A.
20270508163,ENEL GENERACION PIURA S.A.
20279889208,EMPRESA DE GENERACIÓN ELÉCTRICA DEL SUR S.A.
20297566866,PETRAMAS S.A.C.
20325493811,SHOUGANG GENERACIÓN ELÉCTRICA S.A.A.
20330262428,COMPANIA MINERA ANTAMINA S.A.
20330791412,ORYGEN PERU S.A.A.
20333363900,ENGIE ENERGIA PERU S.A.A.
20352427081,TERMOSELVA S.R.L.
20383316473,CONSORCIO TRANSMANTARO S.A.
20392847406,ENERGIA RENOVABLE DEL SUR S.A.
20393826879,INFRAESTRUCTURAS Y ENERGIAS DEL PERU S.A.C.
20408101531,ASOCIACIÓN SANTA LUCIA DE CHACAS
20417773542,GENERADORA DE ENERGÍA DEL PERÚ S.A.
20422764136,CELEPSA RENOVABLES S.R.L.
20423075059,RED ELÉCTRICA DEL SUR S.A.
20492080064,COLCA SOLAR S.A.C.
20492925030,LA VIRGEN S.A.C.
20501844986,INTERCONEXIÓN ELÉCTRICA ISA PERÚ S.A.
20502432657,EMPRESA DE GENERACION HUANZA S.A.
20503684242,ANDEAN POWER S.A.C.
20504645046,RED DE ENERGÍA DEL PERÚ S.A.
20507024051,EMPRESA DE GENERACION HUALLAGA SOCIEDAD ANONIMA
20509514641,FENIX POWER PERÚ S.A.
20510409613,HIDROCAÑETE S.A.
20511721912,COMPAÑIA TRANSMISORA NORPERUANA S.A.C
20512481125,COMPAÑIA ELECTRICA EL PLATANAL S.A.
20515431579,MAJA ENERGIA S.A.C.
20516484391,ELECTRICA YANAPAMPA S.A.C.
20517049086,ENERGÍA EÓLICA S.A.
20518630891,TERMOCHILCA S.A.C.
20518723040,CHINANGO S.A.C.
20520616102,EMPRESA ELÉCTRICA RIO DOBLE S.A.
20522447651,PERUANA DE INVERSIONES EN ENERGIAS RENOVABLES S.A.
20524522871,EMPRESA DE GENERACION ELECTRICA DE JUNIN S.A.C
20535543349,PARQUE EOLICO MARCONA S.A.C.
20535552682,PANAMERICANA SOLAR S.A.C.
20535630829,TACNA SOLAR S.A.C.
20535653527,REPARTICIÓN ARCUS S.A.C.
20535654094,MAJES ARCUS S.A.C.
20536742248,ATLANTICA TRANSMISION SUR S.A.
20537080133,TRANSMISORA ELECTRICA DEL SUR S.A.C
20537698889,SAMAY I S.A.C
20537761670,EMPRESA DE GENERACION ELECTRICA RIO BAÑOS S.A.C.
20538810682,KALLPA GENERACION S.A.
20538865312,EMPRESA ELECTRICA AGUA AZUL S.A.
20543136591,EMPRESA DE GENERACION ELECTRICA SANTA ANA S.A.C.
20544229118,PLANTA DE RESERVA FRIA DE GENERACION DE ETEN S.A.
20544905181,MOQUEGUA FV S.A.C
20544955102,GENERACIÓN ANDINA S.A.C.
20545084687,PARQUE EOLICO TRES HERMANAS S.A.C.
20545538629,EMPRESA DE GENERACIÓN ELÉCTRICA CANCHAYLLO S.A.C.
20546236073,HIDROELÉCTRICA HUANCHOR S.A.C.
20547999691,AGROLMOS SOCIEDAD ANONIMA - AGROLMOS S.A.
20551938868,CONCESIONARIA LINEA DE TRANSMISION CCNCM S.A.C.
20552721668,HUAURA POWER GROUP S.A.
20600170512,INVERSIONES SHAQSHA S.A.C.
20600180631,AGROAURORA S.A.C.
20600227671,TRANSMISORA ELECTRICA DEL SUR 2 S.A.C. TESUR 2
20600538251,HYDRO GLOBAL PERÚ S.A.C.
20600676084,INLAND ENERGY S.A.C.
20600766873,GR CORTARRAMA SOCIEDAD ANONIMA CERRADA
20600767063,GR TARUCA SOCIEDAD ANONIMA CERRADA
20600788737,GR PAINO SOCIEDAD ANONIMA CERRADA
20601605385,ORAZUL ENERGY PERU S.A.
20602232256,TERNA PERU S.A.C.
20602801072,TRANSMISORA ELECTRICA DEL SUR 4 S.A.C. - TESUR 4
20605515551,JOYA SOLAR S.A.C.
20605758224,CONCESIONARIA LINEA DE TRANSMISIÓN LA NIÑA S.A.C.
20607057045,VARI ENERGIA S.A.C.
20607849693,TRANSMISION ANDINA DE GENERACION S.A.C.
20608589164,KONDU SAC
20609041219,GM OPERACIONES S.A.C.
20609931982,CONCESIONARIA TRANSMISORA REQUE TUMBES S.A.C.
