fecha,agente_id,agente,tipo_agente,concepto_id,concepto,categoria,monto,energia_mwh,potencia_mw,precio_mwh,fuente,documento_fuente
2025-01-01,AGE001,Generadora Andina,Generador,CON001,Energía,Energía,1933891.17,6125.48,173.76,117.95,COES - Dataset Sintético,LIQ-202501-AGE001-CON001
2025-01-01,AGE001,Generadora Andina,Generador,CON002,Potencia,Potencia,809891.92,35451.48,451.48,94.78,COES - Dataset Sintético,LIQ-202501-AGE001-CON002
2025-01-01,AGE001,Generadora Andina,Generador,CON003,Peajes,Transmisión,277472.65,6340.87,148.39,165.91,COES - Dataset Sintético,LIQ-202501-AGE001-CON003
2025-01-01,AGE001,Generadora Andina,Generador,CON004,Servicios Complementarios,Servicios,59518.92,13947.69,342.45,172.64,COES - Dataset Sintético,LIQ-202501-AGE001-CON004
2025-01-01,AGE001,Generadora Andina,Generador,CON005,Otros Conceptos,Otros,48087.62,31516.96,414.24,81.1,COES - Dataset Sintético,LIQ-202501-AGE001-CON005
2025-01-01,AGE002,Energía del Pacífico,Generador,CON001,Energía,Energía,2144490.12,36416.27,203.11,106.43,COES - Dataset Sintético,LIQ-202501-AGE002-CON001
2025-01-01,AGE002,Energía del Pacífico,Generador,CON002,Potencia,Potencia,1046644.85,20146.75,91.74,96.44,COES - Dataset Sintético,LIQ-202501-AGE002-CON002
2025-01-01,AGE002,Energía del Pacífico,Generador,CON003,Peajes,Transmisión,455842.85,32167.67,413.21,204.05,COES - Dataset Sintético,LIQ-202501-AGE002-CON003
2025-01-01,AGE002,Energía del Pacífico,Generador,CON004,Servicios Complementarios,Servicios,153554.48,48790.21,220.34,173.85,COES - Dataset Sintético,LIQ-202501-AGE002-CON004
2025-01-01,AGE002,Energía del Pacífico,Generador,CON005,Otros Conceptos,Otros,131290.18,32833.39,437.77,178.15,COES - Dataset Sintético,LIQ-202501-AGE002-CON005
2025-01-01,AGE003,Comercializadora Nacional,Comercializador,CON001,Energía,Energía,1951481.97,7062.1,152.55,129.2,COES - Dataset Sintético,LIQ-202501-AGE003-CON001
2025-01-01,AGE003,Comercializadora Nacional,Comercializador,CON002,Potencia,Potencia,347567.79,15475.59,95.45,127.26,COES - Dataset Sintético,LIQ-202501-AGE003-CON002
2025-01-01,AGE003,Comercializadora Nacional,Comercializador,CON003,Peajes,Transmisión,358559.82,21417.45,216.58,115.62,COES - Dataset Sintético,LIQ-202501-AGE003-CON003
2025-01-01,AGE003,Comercializadora Nacional,Comercializador,CON004,Servicios Complementarios,Servicios,93504.33,47149.46,341.62,183.55,COES - Dataset Sintético,LIQ-202501-AGE003-CON004
2025-01-01,AGE003,Comercializadora Nacional,Comercializador,CON005,Otros Conceptos,Otros,38604.31,37810.71,123.53,144.51,COES - Dataset Sintético,LIQ-202501-AGE003-CON005
