proceso,emprcodi,pericodi,revision,publicacion_pericodi,componente,monto,origen
LVTA,EMPRESA_001,120,0,120,Valorización de Entregas,1394301.452738,sintetico
LVTA,EMPRESA_001,120,0,120,Valorización de Retiros,-597725.164683,sintetico
LVTA,EMPRESA_001,120,0,120,Ingreso Tarifario y Rentas por Congestión,86370.980145,sintetico
LVTA,EMPRESA_001,120,1,121,Valorización de Entregas,1311634.405364,sintetico
LVTA,EMPRESA_001,120,1,121,Valorización de Retiros,-534086.17867,sintetico
LVTA,EMPRESA_001,120,1,121,Ingreso Tarifario y Rentas por Congestión,79678.135506,sintetico
LVTA,EMPRESA_001,120,2,122,Valorización de Entregas,1296577.150652,sintetico
LVTA,EMPRESA_001,120,2,122,Valorización de Retiros,-536814.993016,sintetico
LVTA,EMPRESA_001,120,2,122,Ingreso Tarifario y Rentas por Congestión,74412.106563,sintetico
LVTA,EMPRESA_001,120,3,123,Valorización de Entregas,1276018.96413,sintetico
LVTA,EMPRESA_001,120,3,123,Valorización de Retiros,-542088.267446,sintetico
LVTA,EMPRESA_001,120,3,123,Ingreso Tarifario y Rentas por Congestión,92594.827016,sintetico
LVTA,EMPRESA_001,120,4,125,Valorización de Entregas,1254821.978367,sintetico
LVTA,EMPRESA_001,120,4,125,Valorización de Retiros,-503104.613578,sintetico
LVTA,EMPRESA_001,120,4,125,Ingreso Tarifario y Rentas por Congestión,77197.921211,sintetico
LVTA,EMPRESA_001,121,0,121,Valorización de Entregas,679428.636551,sintetico
LVTA,EMPRESA_001,121,0,121,Valorización de Retiros,-277403.933103,sintetico
LVTA,EMPRESA_001,121,0,121,Ingreso Tarifario y Rentas por Congestión,10288.957752,sintetico
LVTA,EMPRESA_001,121,1,122,Valorización de Entregas,684598.700417,sintetico
LVTA,EMPRESA_001,121,1,122,Valorización de Retiros,-259827.429353,sintetico
LVTA,EMPRESA_001,121,1,122,Ingreso Tarifario y Rentas por Congestión,7075.589836,sintetico
LVTA,EMPRESA_001,121,2,123,Valorización de Entregas,675155.822175,sintetico
LVTA,EMPRESA_001,121,2,123,Valorización de Retiros,-273431.801127,sintetico
LVTA,EMPRESA_001,121,2,123,Ingreso Tarifario y Rentas por Congestión,19140.680952,sintetico
LVTA,EMPRESA_001,121,3,124,Valorización de Entregas,692831.859518,sintetico
LVTA,EMPRESA_001,121,3,124,Valorización de Retiros,-284107.009197,sintetico
LVTA,EMPRESA_001,121,3,124,Ingreso Tarifario y Rentas por Congestión,13452.003979,sintetico
LVTA,EMPRESA_001,121,4,127,Valorización de Entregas,671971.625521,sintetico
LVTA,EMPRESA_001,121,4,127,Valorización de Retiros,-268656.541926,sintetico
LVTA,EMPRESA_001,121,4,127,Ingreso Tarifario y Rentas por Congestión,19879.700305,sintetico
LVTA,EMPRESA_001,122,0,122,Valorización de Entregas,1071617.380272,sintetico
LVTA,EMPRESA_001,122,0,122,Valorización de Retiros,-130459.658987,sintetico
LVTA,EMPRESA_001,122,0,122,Ingreso Tarifario y Rentas por Congestión,-2834.152685,sintetico
LVTA,EMPRESA_001,122,1,123,Valorización de Entregas,1155520.274357,sintetico
LVTA,EMPRESA_001,122,1,123,Valorización de Retiros,-146851.594053,sintetico
LVTA,EMPRESA_001,122,1,123,Ingreso Tarifario y Rentas por Congestión,-22933.091303,sintetico
LVTA,EMPRESA_001,122,2,124,Valorización de Entregas,1202143.207176,sintetico
LVTA,EMPRESA_001,122,2,124,Valorización de Retiros,-155151.928134,sintetico
LVTA,EMPRESA_001,122,2,124,Ingreso Tarifario y Rentas por Congestión,-35083.092442,sintetico
LVTA,EMPRESA_001,122,3,126,Valorización de Entregas,1184810.264184,sintetico
LVTA,EMPRESA_001,122,3,126,Valorización de Retiros,-122077.415089,sintetico
LVTA,EMPRESA_001,122,3,126,Ingreso Tarifario y Rentas por Congestión,-35797.200995,sintetico
LVTA,EMPRESA_001,122,4,129,Valorización de Entregas,1251896.725058,sintetico
LVTA,EMPRESA_001,122,4,129,Valorización de Retiros,-188450.000085,sintetico
LVTA,EMPRESA_001,122,4,129,Ingreso Tarifario y Rentas por Congestión,-30987.062273,sintetico
LVTA,EMPRESA_001,123,0,123,Valorización de Entregas,500178.626297,sintetico
LVTA,EMPRESA_001,123,0,123,Valorización de Retiros,-124667.098056,sintetico
LVTA,EMPRESA_001,123,0,123,Ingreso Tarifario y Rentas por Congestión,-6633.97494,sintetico
LVTA,EMPRESA_001,123,1,124,Valorización de Entregas,491377.631434,sintetico
LVTA,EMPRESA_001,123,1,124,Valorización de Retiros,-137611.623028,sintetico
LVTA,EMPRESA_001,123,1,124,Ingreso Tarifario y Rentas por Congestión,2329.401694,sintetico
LVTA,EMPRESA_001,123,2,125,Valorización de Entregas,498460.597943,sintetico
LVTA,EMPRESA_001,123,2,125,Valorización de Retiros,-127493.51546,sintetico
LVTA,EMPRESA_001,123,2,125,Ingreso Tarifario y Rentas por Congestión,-5193.136983,sintetico
LVTA,EMPRESA_001,123,3,128,Valorización de Entregas,522555.714439,sintetico
LVTA,EMPRESA_001,123,3,128,Valorización de Retiros,-157512.887614,sintetico
LVTA,EMPRESA_001,123,3,128,Ingreso Tarifario y Rentas por Congestión,3037.473775,sintetico
LVTA,EMPRESA_001,123,4,132,Valorización de Entregas,520187.74358,sintetico
LVTA,EMPRESA_001,123,4,132,Valorización de Retiros,-149521.553312,sintetico
LVTA,EMPRESA_001,123,4,132,Ingreso Tarifario y Rentas por Congestión,344.619732,sintetico
LVTA,EMPRESA_001,124,0,124,Valorización de Entregas,2550662.152514,sintetico
LVTA,EMPRESA_001,124,0,124,Valorización de Retiros,-1203345.644459,sintetico
LVTA,EMPRESA_001,124,0,124,Ingreso Tarifario y Rentas por Congestión,209106.724545,sintetico
LVTA,EMPRESA_001,124,1,125,Valorización de Entregas,2461326.324086,sintetico
LVTA,EMPRESA_001,124,1,125,Valorización de Retiros,-1190721.172748,sintetico
LVTA,EMPRESA_001,124,1,125,Ingreso Tarifario y Rentas por Congestión,267419.390562,sintetico
LVTA,EMPRESA_001,124,2,126,Valorización de Entregas,2540749.988845,sintetico
LVTA,EMPRESA_001,124,2,126,Valorización de Retiros,-1225286.421209,sintetico
LVTA,EMPRESA_001,124,2,126,Ingreso Tarifario y Rentas por Congestión,259380.008564,sintetico
LVTA,EMPRESA_001,124,3,130,Valorización de Entregas,2518558.721654,sintetico
LVTA,EMPRESA_001,124,3,130,Valorización de Retiros,-1152557.188184,sintetico
LVTA,EMPRESA_001,124,3,130,Ingreso Tarifario y Rentas por Congestión,212385.88243,sintetico
LVTA,EMPRESA_001,124,4,135,Valorización de Entregas,2511675.852522,sintetico
LVTA,EMPRESA_001,124,4,135,Valorización de Retiros,-1146012.600614,sintetico
LVTA,EMPRESA_001,124,4,135,Ingreso Tarifario y Rentas por Congestión,202509.390292,sintetico
LVTA,EMPRESA_001,125,0,125,Valorización de Entregas,3592015.410741,sintetico
LVTA,EMPRESA_001,125,0,125,Valorización de Retiros,-1629230.861369,sintetico
LVTA,EMPRESA_001,125,0,125,Ingreso Tarifario y Rentas por Congestión,212596.765228,sintetico
LVTA,EMPRESA_001,125,1,126,Valorización de Entregas,3549400.660391,sintetico
LVTA,EMPRESA_001,125,1,126,Valorización de Retiros,-1521608.851306,sintetico
LVTA,EMPRESA_001,125,1,126,Ingreso Tarifario y Rentas por Congestión,180771.767915,sintetico
LVTA,EMPRESA_001,125,2,127,Valorización de Entregas,3815332.354062,sintetico
LVTA,EMPRESA_001,125,2,127,Valorización de Retiros,-1705388.968523,sintetico
LVTA,EMPRESA_001,125,2,127,Ingreso Tarifario y Rentas por Congestión,160824.344061,sintetico
LVTA,EMPRESA_001,125,3,131,Valorización de Entregas,3835414.423921,sintetico
LVTA,EMPRESA_001,125,3,131,Valorización de Retiros,-1695394.543953,sintetico
LVTA,EMPRESA_001,125,3,131,Ingreso Tarifario y Rentas por Congestión,124299.090332,sintetico
LVTA,EMPRESA_001,125,4,136,Valorización de Entregas,3582515.547378,sintetico
LVTA,EMPRESA_001,125,4,136,Valorización de Retiros,-1601173.459544,sintetico
LVTA,EMPRESA_001,125,4,136,Ingreso Tarifario y Rentas por Congestión,266568.183367,sintetico
LVTA,EMPRESA_001,126,0,126,Valorización de Entregas,616359.337259,sintetico
LVTA,EMPRESA_001,126,0,126,Valorización de Retiros,-227764.74968,sintetico
LVTA,EMPRESA_001,126,0,126,Ingreso Tarifario y Rentas por Congestión,-982.792179,sintetico
LVTA,EMPRESA_001,126,1,127,Valorización de Entregas,573498.665627,sintetico
LVTA,EMPRESA_001,126,1,127,Valorización de Retiros,-206646.127765,sintetico
LVTA,EMPRESA_001,126,1,127,Ingreso Tarifario y Rentas por Congestión,12068.903738,sintetico
LVTA,EMPRESA_001,126,2,128,Valorización de Entregas,589376.132472,sintetico
LVTA,EMPRESA_001,126,2,128,Valorización de Retiros,-220408.584493,sintetico
LVTA,EMPRESA_001,126,2,128,Ingreso Tarifario y Rentas por Congestión,1696.751822,sintetico
LVTA,EMPRESA_001,126,3,133,Valorización de Entregas,548650.511784,sintetico
LVTA,EMPRESA_001,126,3,133,Valorización de Retiros,-191737.176696,sintetico
LVTA,EMPRESA_001,126,3,133,Ingreso Tarifario y Rentas por Congestión,8802.339712,sintetico
LVTA,EMPRESA_001,127,0,127,Valorización de Entregas,1913192.382116,sintetico
LVTA,EMPRESA_001,127,0,127,Valorización de Retiros,-549293.329033,sintetico
LVTA,EMPRESA_001,127,0,127,Ingreso Tarifario y Rentas por Congestión,-37410.161483,sintetico
LVTA,EMPRESA_001,127,1,128,Valorización de Entregas,1830042.643664,sintetico
LVTA,EMPRESA_001,127,1,128,Valorización de Retiros,-537376.273404,sintetico
LVTA,EMPRESA_001,127,1,128,Ingreso Tarifario y Rentas por Congestión,-15643.03446,sintetico
LVTA,EMPRESA_001,127,2,129,Valorización de Entregas,1832516.123345,sintetico
LVTA,EMPRESA_001,127,2,129,Valorización de Retiros,-532521.710414,sintetico
LVTA,EMPRESA_001,127,2,129,Ingreso Tarifario y Rentas por Congestión,-38945.700031,sintetico
LVTA,EMPRESA_001,127,3,134,Valorización de Entregas,1821053.651809,sintetico
LVTA,EMPRESA_001,127,3,134,Valorización de Retiros,-571344.957282,sintetico
LVTA,EMPRESA_001,127,3,134,Ingreso Tarifario y Rentas por Congestión,-1605.528828,sintetico
LVTA,EMPRESA_001,128,0,128,Valorización de Entregas,946375.020659,sintetico
LVTA,EMPRESA_001,128,0,128,Valorización de Retiros,-288157.981312,sintetico
LVTA,EMPRESA_001,128,0,128,Ingreso Tarifario y Rentas por Congestión,-66215.376747,sintetico
LVTA,EMPRESA_001,128,1,129,Valorización de Entregas,1020826.179483,sintetico
LVTA,EMPRESA_001,128,1,129,Valorización de Retiros,-366765.549826,sintetico
LVTA,EMPRESA_001,128,1,129,Ingreso Tarifario y Rentas por Congestión,-38662.513657,sintetico
LVTA,EMPRESA_001,128,2,130,Valorización de Entregas,980849.846022,sintetico
LVTA,EMPRESA_001,128,2,130,Valorización de Retiros,-309035.878482,sintetico
LVTA,EMPRESA_001,128,2,130,Ingreso Tarifario y Rentas por Congestión,-52072.51354,sintetico
LVTA,EMPRESA_001,128,3,136,Valorización de Entregas,978031.472049,sintetico
LVTA,EMPRESA_001,128,3,136,Valorización de Retiros,-313452.287664,sintetico
LVTA,EMPRESA_001,128,3,136,Ingreso Tarifario y Rentas por Congestión,-51425.451685,sintetico
LVTA,EMPRESA_001,129,0,129,Valorización de Entregas,1691660.3844,sintetico
LVTA,EMPRESA_001,129,0,129,Valorización de Retiros,-727592.504063,sintetico
LVTA,EMPRESA_001,129,0,129,Ingreso Tarifario y Rentas por Congestión,113327.698563,sintetico
LVTA,EMPRESA_001,129,1,130,Valorización de Entregas,1735382.988336,sintetico
LVTA,EMPRESA_001,129,1,130,Valorización de Retiros,-733253.677531,sintetico
LVTA,EMPRESA_001,129,1,130,Ingreso Tarifario y Rentas por Congestión,108386.890095,sintetico
LVTA,EMPRESA_001,129,2,131,Valorización de Entregas,1711262.951036,sintetico
LVTA,EMPRESA_001,129,2,131,Valorización de Retiros,-711403.074592,sintetico
LVTA,EMPRESA_001,129,2,131,Ingreso Tarifario y Rentas por Congestión,124916.292857,sintetico
LVTA,EMPRESA_001,129,3,137,Valorización de Entregas,1720230.462321,sintetico
LVTA,EMPRESA_001,129,3,137,Valorización de Retiros,-667069.462766,sintetico
LVTA,EMPRESA_001,129,3,137,Ingreso Tarifario y Rentas por Congestión,82078.335846,sintetico
LVTA,EMPRESA_001,130,0,130,Valorización de Entregas,874505.227808,sintetico
LVTA,EMPRESA_001,130,0,130,Valorización de Retiros,-306278.3302,sintetico
LVTA,EMPRESA_001,130,0,130,Ingreso Tarifario y Rentas por Congestión,-31033.250308,sintetico
LVTA,EMPRESA_001,130,1,131,Valorización de Entregas,914974.881589,sintetico
LVTA,EMPRESA_001,130,1,131,Valorización de Retiros,-325982.217622,sintetico
LVTA,EMPRESA_001,130,1,131,Ingreso Tarifario y Rentas por Congestión,-28068.608466,sintetico
LVTA,EMPRESA_001,130,2,132,Valorización de Entregas,887935.669831,sintetico
LVTA,EMPRESA_001,130,2,132,Valorización de Retiros,-290517.124387,sintetico
LVTA,EMPRESA_001,130,2,132,Ingreso Tarifario y Rentas por Congestión,-30151.810444,sintetico
LVTA,EMPRESA_001,130,3,138,Valorización de Entregas,858662.889423,sintetico
LVTA,EMPRESA_001,130,3,138,Valorización de Retiros,-275191.446873,sintetico
LVTA,EMPRESA_001,130,3,138,Ingreso Tarifario y Rentas por Congestión,-23588.89715,sintetico
LVTA,EMPRESA_001,131,0,131,Valorización de Entregas,690926.015773,sintetico
LVTA,EMPRESA_001,131,0,131,Valorización de Retiros,-265901.722812,sintetico
LVTA,EMPRESA_001,131,0,131,Ingreso Tarifario y Rentas por Congestión,-23069.704961,sintetico
LVTA,EMPRESA_001,131,1,132,Valorización de Entregas,704848.25563,sintetico
