barrcodi,barrnombre,barrtension,lat,lon,metodo
1,TALARA 220,220,-4.65,-81.33999999999999,localidad:TALARA
2,PIURA OESTE 220,220,-5.260000000000001,-80.69999999999999,localidad:PIURA OESTE
3,CHICLAYO 220,220,-6.84,-79.91,localidad:CHICLAYO
4,GUADALUPE 220,220,-7.3100000000000005,-79.53999999999999,localidad:GUADALUPE
5,CARHUAQUERO 220,220,-6.62,-79.36999999999999,localidad:CARHUAQUERO
6,TRUJILLO 220,220,-8.18,-79.1,localidad:TRUJILLO
7,CHIMBOTE1 220,220,-9.15,-78.64999999999999,localidad:CHIMBOTE
8,HUALLANCA 138,138,-8.89,-77.92999999999999,localidad:HUALLANCA
9,PARAMONGA NUEVA 220,220,-10.74,-77.89999999999999,localidad:PARAMONGA
10,HUACHO 220,220,-11.18,-77.67999999999999,localidad:HUACHO
11,ZAPALLAL 220,220,-11.9,-77.16,localidad:ZAPALLAL
12,VENTANILLA 220,220,-11.94,-77.19999999999999,localidad:VENTANILLA
13,CHAVARRIA 220,220,-12.07,-77.16999999999999,localidad:CHAVARRIA
14,SANTA ROSA 220,220,-12.1,-77.13,localidad:SANTA ROSA
15,MEPSA 60,,-11.6,-75.99,localidad:MEPSA
16,SAN JUAN 220,220,-12.22,-77.03999999999999,localidad:SAN JUAN
18,CAJAMARQUILLA 220,220,-12.05,-76.97,localidad:CAJAMARQUILLA
19,PACHACHACA 220,220,-11.72,-76.02,localidad:PACHACHACA
20,OROYA NUEVA 50,50,-11.59,-75.97,localidad:OROYA
21,CARHUAMAYO 138,138,-10.99,-76.11999999999999,localidad:CARHUAMAYO
22,CARIPA 138,138,-11.47,-76.27,localidad:CARIPA
23,MANTARO 220,220,-12.39,-74.69999999999999,localidad:MANTARO
24,HUAYUCACHI 220,220,-12.200000000000001,-75.28999999999999,localidad:HUAYUCACHI
25,HUANCAVELICA 220,220,-12.86,-75.05,localidad:HUANCAVELICA
26,INDEPENDENCIA 220,220,-13.77,-76.27,localidad:INDEPENDENCIA
27,AUSTRIA DUVAZ 50,50,-11.67,-76.22,localidad:AUSTRIA DUVAZ
